"date","species","batch_id","volume","grade","tree","height","diameter1","diameter2","calliper","height_m","sizeindex","genus_species","variety"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","regular",1,125.5,11.62,11.47,11.545,1.255,14.488975,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","regular",2,129.9,12.64,12.64,12.64,1.299,16.41936,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","regular",3,135,11.36,11.75,11.555,1.35,15.59925,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","regular",4,122.5,10.8,10.87,10.835,1.225,13.272875,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","regular",5,122,11.14,11.9,11.52,1.22,14.0544,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","regular",6,121.5,13.16,13.31,13.235,1.215,16.080525,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","regular",7,123.4,13.33,13.42,13.375,1.234,16.50475,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","regular",8,119.5,12.36,12.38,12.37,1.195,14.78215,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","regular",9,124.3,11.56,11.68,11.62,1.243,14.44366,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","regular",10,119.4,12.78,12.83,12.805,1.194,15.28917,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","advanced",11,195.9,21.21,20.55,20.88,1.959,40.90392,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","advanced",12,163.5,17.03,17.75,17.39,1.635,28.43265,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","advanced",13,161.8,20.75,20.02,20.385,1.618,32.98293,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","advanced",14,200,19.48,19.78,19.63,2,39.26,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","advanced",15,171.9,18.2,18.18,18.19,1.719,31.26861,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","advanced",16,157.2,18.86,18.76,18.81,1.572,29.56932,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","advanced",17,157.5,21.09,21.1,21.095,1.575,33.224625,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","advanced",18,181.6,17.98,17.95,17.965,1.816,32.62444,"fraxinus_pennsylvanica","urbanite"
2016-06-27,"fraxinus_pennsylvanica_urbanite","fpu_br","bareroot","advanced",19,170,20.06,20.01,20.035,1.7,34.0595,"fraxinus_pennsylvanica","urbanite"
