"species","batch_id","volume","treenumb","canopy_top","canopy_bottom","branchper30","maxbranchradius","branchgroup","crownlength","crownvolume","species_latin","leaf_type","native","growth_rate"
"acer_freemanii_autumnblaze",1158,100,1,298.6,76,6,62,"medium",222.6,0.896060136301618,"Acer freemanii ‘Autumn Blaze’","Deciduous","Non Native","Moderate"
"acer_freemanii_autumnblaze",1158,100,2,289.6,85,6,93,"medium",204.6,1.85310549751325,"Acer freemanii ‘Autumn Blaze’","Deciduous","Non Native","Moderate"
"acer_freemanii_autumnblaze",1158,100,3,303.4,61,4,52,"low",242.4,0.686385216052789,"Acer freemanii ‘Autumn Blaze’","Deciduous","Non Native","Moderate"
"acer_freemanii_autumnblaze",1158,100,4,280.9,60,10,50,"medium",220.9,0.578314847648321,"Acer freemanii ‘Autumn Blaze’","Deciduous","Non Native","Moderate"
"acer_freemanii_autumnblaze",1158,100,5,298.6,59,9,92,"medium",239.6,2.12368982556939,"Acer freemanii ‘Autumn Blaze’","Deciduous","Non Native","Moderate"
"acer_freemanii_autumnblaze",1158,100,6,332.7,57,2,100,"low",275.7,2.88712364864902,"Acer freemanii ‘Autumn Blaze’","Deciduous","Non Native","Moderate"
"acer_freemanii_autumnblaze",1158,100,7,348.6,84,5,98,"medium",264.6,2.66115768553574,"Acer freemanii ‘Autumn Blaze’","Deciduous","Non Native","Moderate"
"acer_freemanii_autumnblaze",1158,100,8,296.9,51,7,58,"medium",245.9,0.866249773051215,"Acer freemanii ‘Autumn Blaze’","Deciduous","Non Native","Moderate"
"acer_freemanii_autumnblaze",1158,100,9,317.3,83,6,85,"medium",234.3,1.77271434062275,"Acer freemanii ‘Autumn Blaze’","Deciduous","Non Native","Moderate"
"acer_freemanii_autumnblaze",1158,100,10,311.6,65,8,92,"medium",246.6,2.18573418608269,"Acer freemanii ‘Autumn Blaze’","Deciduous","Non Native","Moderate"
"angophora_costata",35742,100,3,321.9,53,5,66,"medium",268.9,1.22661223212703,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35683,25,8,117,17,10,33,"medium",100,0.11403981332531,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35683,25,9,104,24,8,34,"medium",80,0.0968448295346614,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35742,100,2,318.9,58,3,54,"low",260.9,0.796691560668573,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35683,25,6,144,20,10,43,"medium",124,0.240097265748151,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35742,100,1,320.1,50,8,77,"medium",270.1,1.67700613931015,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35742,100,5,299.7,38,6,68,"medium",261.7,1.26721459446104,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35683,25,10,109,17,8,36,"medium",92,0.124859458424273,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35742,100,7,303.2,45,6,52,"medium",258.2,0.731124846472072,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35742,100,4,287,40,6,63,"medium",247,1.02661278893273,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35683,25,7,127,28,11,43,"high",99,0.191690558944088,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35742,100,6,281.7,43,5,65,"medium",238.7,1.0561065843634,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",34019,600,4,481.2,123,7,119,"medium",358.2,5.31187837195772,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35742,100,8,330,48,3,64,"low",282,1.20958856985576,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35683,25,4,124,23,10,39,"medium",101,0.160871535012373,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35742,100,10,317,44,5,88,"medium",273,2.21389290935534,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35683,25,2,128,21,10,42,"medium",107,0.197656443393255,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",34019,600,5,521.2,117,9,109,"medium",404.2,5.02895700955093,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",34019,600,1,463.1,116,8,163,"medium",347.1,9.65736043217039,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35683,25,1,130,24,10,41,"medium",106,0.186595942857517,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",34019,600,3,492.5,110,7,26,"medium",382.5,0.270773870812904,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35683,25,3,122,20,10,42,"medium",102,0.188420160991701,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35742,100,9,310.6,38,5,55,"medium",272.6,0.863534808679983,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",35683,25,5,116,26,5,37,"medium",90,0.129025210282933,"Angophora costata","Evergreen","Native","Fast"
"angophora_costata",34019,600,2,464,121,10,93,"medium",343,3.10662358576269,"Angophora costata","Evergreen","Native","Fast"
"araucaria_heterophylla",33684,45,5,280,23,8,79,"medium",257,1.67963889867362,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",33684,45,3,294,32,8,62,"medium",262,1.05466197534153,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",33684,45,1,240,26,11,65,"high",214,0.946823665914404,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",33684,45,4,280,30,7,64,"medium",250,1.07233029242532,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",26779,100,8,376.6,76,12,98,"high",300.6,3.02321995567665,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",26779,100,10,353.1,65,8,106,"medium",288.1,3.38987439651908,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",33684,45,2,270,35,11,62,"high",235,0.945975435897935,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",33684,45,6,280,30,12,69,"high",250,1.24642688531175,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",33684,45,8,280,25,11,70,"high",255,1.30847334022015,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",26779,100,9,316.7,75,9,107,"medium",241.7,2.89782946337417,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",26779,100,7,377.8,75,10,100,"medium",302.8,3.1709141850233,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",33684,45,7,290,27,12,70,"high",263,1.34952348422706,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",26779,100,5,364.5,75,10,100,"medium",289.5,3.03163691071415,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",26779,100,6,351.2,73,11,89,"high",278.2,2.30762777160246,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",33684,45,9,260,22,7,65,"medium",238,1.05300949760574,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",33684,45,10,270,25,14,80,"high",245,1.64200576027627,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",26779,100,4,351.4,70,11,90,"high",281.4,2.38691926634445,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",26779,100,3,355.1,70,16,59,"high",285.1,1.03927351204645,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",26779,100,1,321.1,79,10,110,"medium",242.1,3.06767097845083,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"araucaria_heterophylla",26779,100,2,329.9,69,17,98,"high",260.9,2.62394572999347,"Araucaria heterophylla","Evergreen","Non-Native","Fast"
"banksia_integrifolia",34137,15,2,129,28,5,34,"medium",101,0.12226659728751,"Banksia integrifolia","Evergreen","Native","Moderate"
"banksia_integrifolia",34137,15,4,159.1,10,3,30,"low",149.1,0.140523439395071,"Banksia integrifolia","Evergreen","Native","Moderate"
"banksia_integrifolia",34137,15,5,160.8,23,3,39,"low",137.8,0.219486114105989,"Banksia integrifolia","Evergreen","Native","Moderate"
"banksia_integrifolia",34137,15,6,195,15,5,37,"medium",180,0.258050420565866,"Banksia integrifolia","Evergreen","Native","Moderate"
"banksia_integrifolia",34137,15,3,115.7,10,6,44,"medium",105.7,0.214293480328626,"Banksia integrifolia","Evergreen","Native","Moderate"
"banksia_integrifolia",34084,400,10,414.1,126,14,125,"high",288.1,4.71402522655843,"Banksia integrifolia","Evergreen","Native","Moderate"
"banksia_integrifolia",34137,15,8,118.4,4,6,37,"medium",114.4,0.164005378404083,"Banksia integrifolia","Evergreen","Native","Moderate"
"banksia_integrifolia",34137,15,9,117.2,22,14,41,"high",95.2,0.167584280755053,"Banksia integrifolia","Evergreen","Native","Moderate"
"banksia_integrifolia",33033,45,2,164.5,65,3,50,"low",99.5,0.260490390860154,"Banksia integrifolia","Evergreen","Native","Moderate"
