"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","climate_region"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,12.605,17.83,1.287,16.222635,1.21012139691685,1.47712125471966,0.109578546904387,1.10054285001246,1.25115134317535,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,13.875,18.79,1.55,21.50625,1.33256468996501,1.47712125471966,0.190331698170291,1.14223299179471,1.27392678010053,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,12.3,16.57,1.471,18.0933,1.25751778416693,1.47712125471966,0.16761267272753,1.0899051114394,1.21932250841934,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,13.08,16.93,1.553,20.31324,1.30777919971681,1.47712125471966,0.191171455728559,1.11660774398825,1.22865695810894,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,11.955,18.095,1.571,18.781305,1.27372576549177,1.47712125471966,0.196176185039973,1.07754958045179,1.25755858744422,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,13.285,19.96,1.403,18.638855,1.27041922977466,1.47712125471966,0.14705767102836,1.1233615587463,1.30016053695135,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,15.26,19.42,1.593,24.30918,1.38577030941999,1.47712125471966,0.202215775801132,1.18355453361886,1.28824922557199,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,12.165,17.575,1.56,18.9774,1.2782367116213,1.47712125471966,0.193124598354462,1.08511211326684,1.24489533369186,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,9.73,14.785,1.161,11.29653,1.05294506000693,1.47712125471966,0.0648322197385739,0.988112840268352,1.16982132886214,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,12.515,18.075,1.484,18.57226,1.26886475488725,1.47712125471966,0.171433900943008,1.09743085394424,1.25707830596657,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,13.7,18.195,1.637,22.4269,1.35076924656835,1.47712125471966,0.214048679411941,1.13672056715641,1.25995205992225,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,14.45,19.62,1.577,22.78765,1.35769954042147,1.47712125471966,0.197831693328903,1.15986784709257,1.29269900304393,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,12.56,17.74,1.566,19.66896,1.2937813971231,1.47712125471966,0.194791757721925,1.09898963940118,1.24895361549571,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,13.835,19.17,1.471,20.351285,1.3085918362045,1.47712125471966,0.16761267272753,1.14097916347697,1.28262211287806,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,12.215,16.365,1.467,17.919405,1.25332358515274,1.47712125471966,0.166430113843283,1.08689347130946,1.21391600964402,"Northern Territory"
