"species","nursery","volume","sla_tree.mean","sla_tree.se","climate_region","genus_species","variety","origin","leaf_type"
"angophora_costata","andreasens",200,72.8936425390645,2.07584179230342,"New South Wales","angophora_costata",NA,"native","evergreen"
"angophora_costata","ellenby tree farm",150,53.3759275992885,1.53582755080274,"Western Australia","angophora_costata",NA,"native","evergreen"
"angophora_costata","mt william",18,73.7504469581702,3.0207270477056,"Victoria","angophora_costata",NA,"native","evergreen"
"angophora_costata","arborwest",100,59.6519459886071,1.65214846942539,"Western Australia","angophora_costata",NA,"native","evergreen"
"angophora_costata","flemings",45,70.1014112949873,2.92265901946739,"Victoria","angophora_costata",NA,"native","evergreen"
"angophora_costata","speciality",100,69.6138063485748,2.82916530350601,"Victoria","angophora_costata",NA,"native","evergreen"
"angophora_costata","andreasens",14,69.5340706944051,4.43117266712916,"New South Wales","angophora_costata",NA,"native","evergreen"
"angophora_costata","mt william",45,55.9650425737614,1.17193589958685,"Victoria","angophora_costata",NA,"native","evergreen"
"angophora_costata","greenstock",27,74.7729183359045,2.76573554710015,"Queensland","angophora_costata",NA,"native","evergreen"
"angophora_costata","freshford",20,68.4026258252051,5.46683942288417,"South Australia","angophora_costata",NA,"native","evergreen"
"angophora_costata","freshford",40,60.5010909817191,1.74074703993652,"South Australia","angophora_costata",NA,"native","evergreen"
"angophora_costata","benara",30,55.3560449041555,1.70134412057029,"Western Australia","angophora_costata",NA,"native","evergreen"
"angophora_costata","flemings",100,75.7130405016902,1.98567387786323,"Victoria","angophora_costata",NA,"native","evergreen"
"angophora_costata","ellenby tree farm",100,61.9973289206933,2.16391925688314,"Western Australia","angophora_costata",NA,"native","evergreen"
"banksia_integrifolia","andreasens",5,69.5391145974482,7.8058355433388,"New South Wales","banksia_integrifolia",NA,"native","evergreen"
"banksia_integrifolia","freshford",100,47.0275217305128,0.793710462958898,"South Australia","banksia_integrifolia",NA,"native","evergreen"
"banksia_integrifolia","andreasens",45,57.434975001003,1.50180948873133,"New South Wales","banksia_integrifolia",NA,"native","evergreen"
"banksia_integrifolia","andreasens",75,57.1636911305055,2.55851549334881,"New South Wales","banksia_integrifolia",NA,"native","evergreen"
"banksia_integrifolia","ellenby tree farm",150,53.6305690650165,1.51457213999918,"Western Australia","banksia_integrifolia",NA,"native","evergreen"
"banksia_integrifolia","speciality",50,57.153606441463,2.21502108757214,"Victoria","banksia_integrifolia",NA,"native","evergreen"
"banksia_integrifolia","andreasens",100,60.6637732672746,2.85802177880052,"New South Wales","banksia_integrifolia",NA,"native","evergreen"
"banksia_integrifolia","freshford",14,45.1954996759993,1.69563942697879,"South Australia","banksia_integrifolia",NA,"native","evergreen"
"banksia_integrifolia","benara",30,55.4059390781039,1.30852701501966,"Western Australia","banksia_integrifolia",NA,"native","evergreen"
"banksia_integrifolia","ellenby tree farm",75,40.2702133187636,0.624828031679479,"Western Australia","banksia_integrifolia",NA,"native","evergreen"
"banksia_integrifolia","speciality",35,54.2650199941627,2.12077275147169,"Victoria","banksia_integrifolia",NA,"native","evergreen"
"barringtonia_acutangula","darwin plant wholesalers",20,119.710479902927,3.48785567762977,"Northern Territory","barringtonia_acutangula",NA,"non-native","evergreen"
"bauhinia_variegata","darwin plant wholesalers",20,189.974311213947,9.42340205287903,"Northern Territory","bauhinia_variegata",NA,"non-native","deciduous"
"brachychiton_acerifolius","arborwest",100,88.8488668965109,1.60159507111408,"Western Australia","brachychiton_acerifolius",NA,"native","deciduous"
"brachychiton_acerifolius","flemings",150,80.8539949186648,6.2743969790036,"Victoria","brachychiton_acerifolius",NA,"native","deciduous"
"brachychiton_acerifolius","speciality",50,83.9655474590206,13.8278863380873,"Victoria","brachychiton_acerifolius",NA,"native","deciduous"
"brachychiton_acerifolius","flemings",750,77.2262149034269,4.33752696472339,"Victoria","brachychiton_acerifolius",NA,"native","deciduous"
"brachychiton_acerifolius_bellapink","speciality",100,64.1665875465966,2.86848091969593,"Victoria","brachychiton_acerifolius","bellapink","native","deciduous"
"brachychiton_acerifolius_jerilderiered","speciality",50,75.4496018871444,3.10499478174447,"Victoria","brachychiton_acerifolius","jerilderiered","native","deciduous"
"brachychiton_rupestris","logans",2000,79.8109098994383,3.15370597554165,"Queensland","brachychiton_rupestris",NA,"native","deciduous"
"brachychiton_rupestris","plants direct",100,97.4548323566701,7.2534141856555,"Queensland","brachychiton_rupestris",NA,"native","deciduous"
"brachychiton_rupestris","plants direct",45,100.019289285986,13.9242732957302,"Queensland","brachychiton_rupestris",NA,"native","deciduous"
"brachychiton_rupestris","greenstock",45,75.4226558271004,4.25118071633202,"Queensland","brachychiton_rupestris",NA,"native","deciduous"
"brachychiton_rupestris","logans",400,99.3846546214494,8.00363333023663,"Queensland","brachychiton_rupestris",NA,"native","deciduous"
