nursery,date,species,batch_id,batch_id2,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,28.035,37.43,2.391,67.031685,1.826280137,1.653212514,0.378579576,1.44770056,1.573219827
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,26.96,35.5,2.03,54.7288,1.738215926,1.653212514,0.307496038,1.430719888,1.550228353
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,30.02,35.68,2.54,76.2508,1.882244405,1.653212514,0.404833717,1.477410688,1.552424846
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,30.5,39.62,3.14,95.77,1.981229487,1.653212514,0.496929648,1.484299839,1.597914471
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,29.24,40.32,2.504,73.21696,1.864611693,1.653212514,0.398634325,1.465977368,1.605520523
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,29.68,35.275,2.514,74.61552,1.87282917,1.653212514,0.400365273,1.472463897,1.547467022
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,31.24,40.49,2.902,90.65848,1.957408433,1.653212514,0.462697408,1.494711025,1.607347777
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,29.655,45.435,2.575,76.361625,1.882875162,1.653212514,0.410777233,1.472097928,1.657390532
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,35.885,40.18,2.086,74.85611,1.874227255,1.653212514,0.319314304,1.554912951,1.604009932
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,31.145,39.95,2.305,71.789225,1.856059265,1.653212514,0.36267093,1.493388335,1.601516784
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,28.22,37.51,2.375,67.0225,1.826220623,1.653212514,0.375663614,1.450557009,1.574147064
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,31.125,36.635,2.775,86.371875,1.936372348,1.653212514,0.443262987,1.49310936,1.563896196
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,26.505,38.64,2.639,69.946695,1.844767199,1.653212514,0.42143939,1.423327809,1.587037118
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,30.475,35.21,2.32,70.702,1.849431699,1.653212514,0.365487985,1.483943714,1.546666025
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,29.34,43.965,2.595,76.1373,1.881597472,1.653212514,0.414137362,1.46746011,1.643107077
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,27.97,38.95,2.572,71.93884,1.856963431,1.653212514,0.410270964,1.446692466,1.590507462
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,27.495,28.105,2.732,75.11634,1.875734419,1.653212514,0.436480695,1.439253724,1.44878359
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,30.57,39.47,2.855,87.27735,1.940901551,1.653212514,0.455606113,1.485295439,1.596267126
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,26.795,43.4,2.88,77.1696,1.887446249,1.653212514,0.459392488,1.428053761,1.63748973
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,33.52,40.235,2.799,93.82248,1.972306908,1.653212514,0.447002898,1.52530401,1.604604006
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,28.145,35.72,2.671,75.175295,1.876075141,1.653212514,0.426673888,1.449401253,1.55291145
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,30.625,41.055,2.738,83.85125,1.923509541,1.653212514,0.437433444,1.486076097,1.613366056
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,LIN_45-lagerstroemia_indica_natchez,45,29.97,39.835,2.356,70.60932,1.848862029,1.653212514,0.372175286,1.476686743,1.600264822
