nursery,date,species,batch_id,batch_id2,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,31.36,35.39,2.945,92.3552,1.965461353,1.653212514,0.469085299,1.496376054,1.548880563
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,28.22,34.7,2.873,81.07606,1.908892635,1.653212514,0.458335626,1.450557009,1.540329475
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,30.325,34.69,3.012,91.3389,1.960655777,1.653212514,0.478854968,1.48180081,1.5402043
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,29.14,33.045,2.99,87.1286,1.940160736,1.653212514,0.475671188,1.464489547,1.519105756
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,27.015,35.625,3.102,83.80053,1.923246765,1.653212514,0.491641793,1.431604972,1.551754873
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,28.325,33.69,3.087,87.439275,1.941706548,1.653212514,0.489536629,1.452169919,1.527501011
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,28.175,33.735,2.589,72.945075,1.862995975,1.653212514,0.41313205,1.449863925,1.528080714
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,27.56,32.145,3.196,88.08176,1.944885984,1.653212514,0.504606771,1.440279213,1.50711343
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,31.53,37.3,2.502,78.88806,1.897011276,1.653212514,0.398287305,1.498723971,1.571708832
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,29.265,34.355,2.975,87.063375,1.939835499,1.653212514,0.47348697,1.466348528,1.535989953
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,27.11,32.09,2.447,66.33817,1.821763487,1.653212514,0.388633969,1.433129518,1.506369717
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,28.515,35.155,2.854,81.38181,1.910527345,1.653212514,0.455453969,1.455073376,1.545987102
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,26.83,31.94,2.88,77.2704,1.88801316,1.653212514,0.459392488,1.428620673,1.504334912
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,27.895,32.495,2.698,75.26071,1.876568311,1.653212514,0.431041945,1.445526366,1.511816541
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,27.89,30.815,2.743,76.50227,1.883674322,1.653212514,0.438225808,1.445448514,1.488762172
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,30.085,34.94,3.243,97.565655,1.989296965,1.653212514,0.510946949,1.478350016,1.543322901
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,29.8,36.74,3.145,93.721,1.971836914,1.653212514,0.49762065,1.474216264,1.565139152
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,27.885,30.29,2.964,82.65114,1.917248848,1.653212514,0.471878199,1.445370649,1.481299273
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,32.165,37.855,3.317,106.691305,2.028129027,1.653212514,0.520745472,1.507383556,1.578123251
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,30.52,36.47,3.125,95.375,1.979434551,1.653212514,0.494850022,1.484584529,1.561935763
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,30.615,36.49,3.024,92.57976,1.966516051,1.653212514,0.480581787,1.485934264,1.562173863
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,30.185,33.025,2.576,77.75656,1.890737039,1.653212514,0.410945859,1.47979118,1.518842826
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,31.685,36.75,3.078,97.52643,1.989122327,1.653212514,0.488268615,1.500853711,1.565257343
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,33.335,39.805,3.216,107.20536,2.0302165,1.653212514,0.50731604,1.522900459,1.599937628
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,33.6,38.52,2.836,95.2896,1.979045504,1.653212514,0.452706227,1.526339277,1.585686278
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,38.64,46.99,2.791,107.84424,2.032796954,1.653212514,0.445759836,1.587037118,1.672005445
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,29.855,35.21,2.555,76.279525,1.88240798,1.653212514,0.407390904,1.475017076,1.546666025
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,32.255,37.065,3.014,97.21657,1.987740294,1.653212514,0.479143248,1.508597046,1.568964004
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,30.705,35.995,2.989,91.777245,1.962735017,1.653212514,0.475525915,1.487209102,1.556242178
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,32.085,36.43,3.001,96.287085,1.983568039,1.653212514,0.477265995,1.506302044,1.561459171
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,31.135,34.24,2.994,93.21819,1.969500666,1.653212514,0.476251796,1.49324887,1.534533756
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,32.85,36.345,2.559,84.06315,1.92460566,1.653212514,0.408070286,1.516535374,1.560444673
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,34.75,38.59,2.705,93.99875,1.973122078,1.653212514,0.432167269,1.540954809,1.586474779
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,30.86,36.52,3.02,93.1972,1.969402865,1.653212514,0.480006943,1.489395922,1.562530769
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,32.98,39.765,2.956,97.48888,1.988955081,1.653212514,0.47070443,1.518250651,1.599500987
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,34.805,37.83,3.056,106.36408,2.026794988,1.653212514,0.48515335,1.541641638,1.577836341
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,31.5,37.465,2.824,88.956,1.949175246,1.653212514,0.450864692,1.498310554,1.573625737
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,35.895,40.28,2.733,98.101035,1.991673589,1.653212514,0.436639632,1.555033958,1.605089462
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,31.68,37.305,3.03,95.9904,1.982227801,1.653212514,0.481442629,1.500785173,1.571767044
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,30.345,33.49,3.205,97.255725,1.987915176,1.653212514,0.505828034,1.482087142,1.524915148
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,30.565,34.64,3.028,92.55082,1.966380271,1.653212514,0.481155871,1.4852244,1.539577883
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,34.245,38.785,3.021,103.454145,2.014747896,1.653212514,0.480150725,1.534597171,1.588663796
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,34.955,38.305,2.614,91.37237,1.96081489,1.653212514,0.417305583,1.543509306,1.583255467
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,32.05,38.015,3.234,103.6497,2.015568049,1.653212514,0.509740016,1.505828034,1.579954995
flem,27/06/2016,acer_rubrum_autumnblaze,ara_45,ara_45-acer_rubrum_autumnblaze,45,33.27,41.495,3.218,107.06286,2.029638841,1.653212514,0.50758604,1.522052801,1.617995769
