date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
29/04/2016,fraxinus_griffithii,36029,25,1,110,13.19,13.4,17.47,17.38
29/04/2016,fraxinus_griffithii,36029,25,2,124,12.77,12.36,16.37,16.34
29/04/2016,fraxinus_griffithii,36029,25,3,114,11.42,11.16,15.33,15.34
29/04/2016,fraxinus_griffithii,36029,25,4,117,13.17,13.45,16.86,17.27
29/04/2016,fraxinus_griffithii,36029,25,5,113,11.71,11.91,15,15.08
29/04/2016,fraxinus_griffithii,36029,25,6,111,10.98,11.98,14.52,13.98
29/04/2016,fraxinus_griffithii,36029,25,7,113,12.01,12.75,14.82,14.15
29/04/2016,fraxinus_griffithii,36029,25,8,138,14.42,13.68,19.04,21.14
29/04/2016,fraxinus_griffithii,36029,25,9,120,11.94,11.67,13.19,13.39
29/04/2016,fraxinus_griffithii,36029,25,10,103,11.18,12.18,15.54,15.31
29/04/2016,fraxinus_griffithii,36029,25,11,126.5,12.21,12.24,14.21,14.1
29/04/2016,fraxinus_griffithii,36029,25,12,118.5,15.39,13.75,15.4,15.89
29/04/2016,fraxinus_griffithii,36029,25,13,119,11.59,11.25,14.6,14.6
29/04/2016,fraxinus_griffithii,36029,25,14,115,13.42,13.11,16.29,16.33
29/04/2016,fraxinus_griffithii,36029,25,15,109,12.01,12.53,16.92,17.84
29/04/2016,fraxinus_griffithii,36029,25,16,97.5,12.98,15.31,17.85,18.07
29/04/2016,fraxinus_griffithii,36029,25,17,103,13.94,13.77,21.15,21.56
29/04/2016,fraxinus_griffithii,36029,25,18,81.5,12.72,10.84,16.3,17.59
29/04/2016,fraxinus_griffithii,36029,25,19,138.5,9.14,8.77,11.42,11.36
29/04/2016,fraxinus_griffithii,36029,25,20,110,10.24,10.13,11.43,11.84
29/04/2016,fraxinus_griffithii,36029,25,21,110.5,13.69,12.44,15.45,15.45
29/04/2016,fraxinus_griffithii,36029,25,22,124,12.6,12.82,16.46,16.47
29/04/2016,fraxinus_griffithii,36029,25,23,118.5,11.25,11.32,15.73,14.26
29/04/2016,fraxinus_griffithii,36029,25,24,123,9.85,9.95,13.61,12.76
29/04/2016,fraxinus_griffithii,36029,25,25,114,11.96,11.82,15.41,15.44
29/04/2016,fraxinus_griffithii,36029,25,26,108.5,10.55,11.03,13.81,14.05
29/04/2016,fraxinus_griffithii,36029,25,27,111,11.47,11.61,15.25,15.94
29/04/2016,fraxinus_griffithii,36029,25,28,113,11.47,11.65,15.22,16.24
29/04/2016,fraxinus_griffithii,36029,25,29,105.5,12.77,12.51,17.25,17.52
29/04/2016,fraxinus_griffithii,36029,25,30,97.5,10.99,11.34,13.77,13.89
29/04/2016,fraxinus_griffithii,36029,25,31,116,10.7,10.42,12.28,12.55
29/04/2016,fraxinus_griffithii,36029,25,32,113,13.68,12.26,19.24,19.08
29/04/2016,fraxinus_griffithii,36029,25,33,156.5,15.73,15.5,21.04,21.31
29/04/2016,fraxinus_griffithii,36029,25,34,113,13,12.8,18.57,17.41
29/04/2016,fraxinus_griffithii,36029,25,35,105.5,11.7,11.87,16.4,15.48
29/04/2016,fraxinus_griffithii,36029,25,36,106,11.96,11.88,18.21,18.49
29/04/2016,fraxinus_griffithii,36029,25,37,200,13.1,12.82,15.61,17.03
29/04/2016,fraxinus_griffithii,36029,25,38,114.5,8.59,8.48,11.54,12.5
29/04/2016,fraxinus_griffithii,36029,25,39,125,12.15,12.04,14.3,13.3
29/04/2016, eucalyptus_sideroxylon,26543,25,1,222,42.38,41.62,50.89,51.07
29/04/2016, eucalyptus_sideroxylon,26543,25,2,245,39.47,39.72,53.27,55.43
29/04/2016, eucalyptus_sideroxylon,26543,25,3,214,22.59,22.77,48.26,50.45
29/04/2016, eucalyptus_sideroxylon,26543,25,4,198,24.92,24.29,36.7,33.24
29/04/2016, eucalyptus_sideroxylon,26543,25,5,233,23.44,23.32,31.41,32.66
29/04/2016, eucalyptus_sideroxylon,26543,25,6,181,22.06,22.04,29.48,29.85
29/04/2016, eucalyptus_sideroxylon,26543,25,7,206,25.64,25.48,31.85,31.62
29/04/2016, eucalyptus_sideroxylon,26543,25,8,239,26.62,26.84,36.57,36.2
29/04/2016, eucalyptus_sideroxylon,26543,25,9,228,21.08,21.09,27.76,26.8
29/04/2016, eucalyptus_sideroxylon,26543,25,10,173,16.5,16.3,21.24,21.33
29/04/2016, eucalyptus_sideroxylon,26543,25,11,245,26.07,25.61,33.75,34.12
29/04/2016, eucalyptus_sideroxylon,26543,25,12,161,22.94,23.36,35.14,35.67
29/04/2016, eucalyptus_sideroxylon,26543,25,13,151,21.64,21.76,30.54,31.73
29/04/2016, eucalyptus_sideroxylon,26543,25,14,224,24.07,24.66,33.05,32.55
29/04/2016, eucalyptus_sideroxylon,26543,25,15,233,19.84,19.8,26.85,28.17
29/04/2016,corymbia_maculata,35686,25,1,129,10.77,10.87,18.24,17.47
29/04/2016,corymbia_maculata,35686,25,2,105.5,8.26,8.4,15.56,15.51
29/04/2016,corymbia_maculata,35686,25,3,96,8.39,8.35,16.94,17.45
29/04/2016,corymbia_maculata,35686,25,4,102,11.75,11.82,15.9,14.76
29/04/2016,corymbia_maculata,35686,25,5,104,8.1,8.23,16.86,17.54
29/04/2016,corymbia_maculata,35686,25,6,73.5,7.97,7.95,19.07,17.86
29/04/2016,corymbia_maculata,35686,25,7,137,12.86,13.19,19.82,18.61
29/04/2016,corymbia_maculata,35686,25,8,128.5,11.15,11.16,19.68,18.68
29/04/2016,corymbia_maculata,35686,25,9,103.5,8.62,8.47,15.75,15.49
29/04/2016,corymbia_maculata,35686,25,10,141.5,10.18,11.19,16.43,18.39
29/04/2016,corymbia_maculata,35686,25,11,163,12.68,12.92,21.67,21.1
29/04/2016,corymbia_maculata,35686,25,12,104.5,11.28,11.61,17.95,19.6
29/04/2016,corymbia_maculata,35686,25,13,142.5,11.17,10.57,15.8,15.24
29/04/2016,corymbia_maculata,35686,25,14,124,9.72,9.63,17.76,19.79
29/04/2016,corymbia_maculata,35686,25,15,89.5,7.12,7,14.1,13.94
29/04/2016,corymbia_maculata,35686,25,16,80,9.77,9.76,13.86,14.27
29/04/2016,corymbia_maculata,35686,25,17,88.5,10.3,9.96,20.48,20.72
29/04/2016,corymbia_maculata,35686,25,18,134.5,9.83,9.53,16.58,16.32
29/04/2016,corymbia_maculata,35686,25,19,136.5,11.17,11.12,16.4,17.45
29/04/2016,corymbia_maculata,35686,25,20,142.5,11.8,11.39,16.48,16.31
29/04/2016,corymbia_maculata,35686,25,21,151,11.08,11.03,18.04,17.44
29/04/2016,corymbia_maculata,35686,25,22,102.5,8.78,8.46,21.57,20.26
29/04/2016,corymbia_maculata,35686,25,23,157,11.57,77.96,19.18,17.22
29/04/2016,corymbia_maculata,35686,25,24,132,9.02,8.86,18.02,19.56
29/04/2016,corymbia_maculata,35686,25,25,125.5,10.84,10.7,15.65,15.58
29/04/2016,corymbia_maculata,35686,25,26,171.5,12.63,12.59,20.3,21.68
29/04/2016,corymbia_maculata,35686,25,27,86,5.63,5.71,15.2,15.31
29/04/2016,corymbia_maculata,35686,25,28,102.5,9.98,9.79,18.89,18.87
29/04/2016,corymbia_maculata,35686,25,29,111.5,9.55,9.18,16.38,17.4
29/04/2016,corymbia_maculata,35686,25,30,139.5,10.26,10.19,19.96,20.36
29/04/2016,corymbia_maculata,35686,25,31,98,10.44,9.96,16.75,16.85
29/04/2016,corymbia_maculata,35686,25,32,102,7.74,7.86,14.49,13.74
29/04/2016,corymbia_maculata,35686,25,33,130,10.54,10.56,15.41,15.73
29/04/2016,corymbia_maculata,35686,25,34,73.5,9.38,9.14,15.53,14.98
29/04/2016,corymbia_maculata,35686,25,35,126,12.13,11.03,17.63,14.63
29/04/2016,corymbia_maculata,35686,25,36,71,7.65,6.98,14.32,14.65
29/04/2016,corymbia_maculata,35686,25,37,46,6.84,6.85,13.38,14.75
29/04/2016,corymbia_maculata,35686,25,38,139.5,10.18,10.22,15.91,16.78
29/04/2016,corymbia_maculata,35686,25,39,105,13.35,13.27,17.17,17.06
29/04/2016,corymbia_maculata,35686,25,40,106.5,9.79,9.79,15,15.82
29/04/2016,corymbia_maculata,35686,25,41,96,8.46,8.44,14.2,14.63
29/04/2016,corymbia_maculata,35686,25,42,116.5,10.57,10.83,17.12,16.71
29/04/2016,corymbia_maculata,35686,25,43,153.5,10.48,10.49,15.88,14.83
29/04/2016,corymbia_maculata,35686,25,44,110,8.37,8.25,14.3,13.74
29/04/2016,corymbia_maculata,35686,25,45,141,11.63,11.89,19.08,18.13
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,1,104,9.76,9.95,23.37,19.57
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,2,95.5,10.7,10.37,15.73,16.21
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,3,111.5,8.9,8.91,17.4,16.53
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,4,111,8.12,8.1,15.65,15.53
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,5,107,9.49,9.54,22.4,21.36
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,6,112,8.8,9.17,14.64,14.9
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,7,109,9.77,9.56,18,16.03
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,8,126,10.23,10.33,17.27,15.99
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,9,109.5,9.07,8.53,22.38,24.71
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,10,89.5,7.98,7.99,18.72,18.73
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,11,107,9.91,9.36,15.42,16
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,12,123,10.63,10.64,15.67,15.65
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,13,101.5,9.43,9.65,16.28,16.09
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,14,95,8.28,7.8,18.38,17.62
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,15,118,8.73,8.72,13.68,12.84
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,16,96.5,7.44,6.86,13.34,13.92
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,17,111.5,9.71,9.78,13.1,14.16
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,18,88.5,8.16,8.2,12.83,13.27
29/04/2016, eucalyptus_sideroxylon_rosea,35694,25,19,113.5,8.13,8.26,14.05,14.76
29/04/2016, eucalyptus_saligna,36172,25,1,136,16.29,16.37,21.89,22.14
29/04/2016, eucalyptus_saligna,36172,25,2,130,13.71,13.73,21.08,19.83
29/04/2016, eucalyptus_saligna,36172,25,3,145.9,15.25,15.43,22.22,22.06
29/04/2016, eucalyptus_saligna,36172,25,4,135.9,16.54,16.87,21.97,21.79
29/04/2016, eucalyptus_saligna,36172,25,5,157.5,14.65,13.82,21.17,19.67
29/04/2016, eucalyptus_saligna,36172,25,6,144,13.49,14.5,20.29,20.12
29/04/2016, eucalyptus_saligna,36172,25,7,147,13.61,13.72,20.88,19.98
29/04/2016, eucalyptus_saligna,36172,25,8,146.5,12.54,12.33,19.56,19.13
29/04/2016, eucalyptus_saligna,36172,25,9,134,15.26,15.44,20.73,20.78
29/04/2016, eucalyptus_saligna,36172,25,10,156,13.28,14,20.92,20.59
29/04/2016, eucalyptus_saligna,36172,25,11,140,16.03,16.46,22.74,22.39
29/04/2016, eucalyptus_saligna,36172,25,12,158,16.14,15.91,24.27,24.07
29/04/2016, eucalyptus_saligna,36172,25,13,120,15.37,15.17,21.57,22
29/04/2016, eucalyptus_saligna,36172,25,14,143.5,14.99,14.63,22.07,21.55
29/04/2016, eucalyptus_saligna,36172,25,15,154,16.86,16.37,22.24,21.56
29/04/2016, eucalyptus_saligna,36172,25,16,148,15.55,15.16,21.29,21.23
29/04/2016, eucalyptus_saligna,36172,25,17,141,12.7,14.15,19.12,19.57
29/04/2016, eucalyptus_saligna,36172,25,18,154.5,15.98,16,21.34,21.39
29/04/2016, eucalyptus_saligna,36172,25,19,148,15.77,15.78,22.69,22.9
29/04/2016, eucalyptus_saligna,36172,25,20,133,12.74,12.2,18.92,18.3
29/04/2016, eucalyptus_saligna,36172,25,21,137,16.37,16.35,22.52,21.65
29/04/2016, eucalyptus_saligna,36172,25,22,149,13.84,14.54,20.56,20.65
29/04/2016, eucalyptus_saligna,36172,25,23,157,14.77,14.8,20.06,20.06
29/04/2016, eucalyptus_saligna,36172,25,24,138.5,14.59,15.35,22.3,21
29/04/2016, eucalyptus_saligna,36172,25,25,106,13.76,13.33,23.41,22.18
29/04/2016, eucalyptus_saligna,36172,25,26,118,14.05,14.72,22.16,22.21
29/04/2016, eucalyptus_saligna,36172,25,27,112,11.97,12.15,19.7,18.89
29/04/2016, eucalyptus_saligna,36172,25,28,108,12.48,12.3,18.36,18.87
29/04/2016, eucalyptus_saligna,36172,25,29,125.5,14.03,14.26,20.4,20.96
29/04/2016, eucalyptus_saligna,36172,25,30,136,12.84,12.96,17.95,17.62
29/04/2016, eucalyptus_saligna,36172,25,31,137.5,15.19,14.81,20.82,21.37
29/04/2016, eucalyptus_saligna,36172,25,32,135.5,17.15,16.54,21.45,21.63
29/04/2016, eucalyptus_saligna,36172,25,33,129,11.39,11.34,18.16,18.28
29/04/2016, eucalyptus_saligna,36172,25,34,128.5,14.02,14.07,18.98,18.59
29/04/2016, eucalyptus_saligna,36172,25,35,107,12.62,12.68,21.79,21.85
29/04/2016, eucalyptus_saligna,36172,25,36,151,15.85,15.63,23.52,23
29/04/2016, eucalyptus_saligna,36172,25,37,133,14.93,14.19,21.22,20.87
29/04/2016, eucalyptus_saligna,36172,25,38,131,13.81,13.96,20.54,19.93
29/04/2016,angophora_costata,35683,25,1,106.5,10.76,11.01,18,17.2
29/04/2016,angophora_costata,35683,25,2,137,11.81,11.83,17.48,18.83
29/04/2016,angophora_costata,35683,25,3,98,11.17,10.94,21.91,21.73
29/04/2016,angophora_costata,35683,25,4,116.5,11.14,11.14,17.39,17.4
29/04/2016,angophora_costata,35683,25,5,90.5,12.37,14.77,21.33,21.13
29/04/2016,angophora_costata,35683,25,6,111.5,10.77,10.88,16.83,16.97
29/04/2016,angophora_costata,35683,25,7,113.5,13.17,12.75,21.53,20.75
29/04/2016,angophora_costata,35683,25,8,126,11.44,11.44,19.17,19.18
29/04/2016,angophora_costata,35683,25,9,105,11.23,10.63,21.43,21.46
29/04/2016,angophora_costata,35683,25,10,134,12.69,15.07,20.2,19.47
29/04/2016,angophora_costata,35683,25,11,104.5,10.18,10.81,15.62,15.26
29/04/2016,angophora_costata,35683,25,12,123,12.26,12.81,24.43,23.79
29/04/2016,angophora_costata,35683,25,13,126.5,11.81,11.74,22.84,22.33
29/04/2016,angophora_costata,35683,25,14,102.5,9.73,9.81,21.27,20.34
29/04/2016,angophora_costata,35683,25,15,99,10,10.45,18.48,18.53
29/04/2016,angophora_costata,35683,25,16,114.5,15.34,15.62,16.64,17.24
29/04/2016,angophora_costata,35683,25,17,90.5,10.73,10.58,26.81,26.13
29/04/2016,angophora_costata,35683,25,18,112,13.08,13.69,17.58,17.92
29/04/2016,angophora_costata,35683,25,19,103.5,10.62,10.75,23.18,23.79
29/04/2016,angophora_costata,35683,25,20,118.5,12.51,12.38,26.63,26.58
29/04/2016,angophora_costata,35683,25,21,140.5,15.27,14.75,21.17,21.04
29/04/2016,angophora_costata,35683,25,22,105.5,12.53,12.64,19.22,19.94
29/04/2016,angophora_costata,35683,25,23,107,10.12,10.33,21.06,20.49
29/04/2016,angophora_costata,35683,25,24,103.5,10.65,10.69,21.47,21.57
29/04/2016,angophora_costata,35683,25,25,118.5,10.41,10.45,14.82,14.7
29/04/2016,angophora_costata,35683,25,26,110.5,12.05,11.94,23.01,24.11
29/04/2016,angophora_costata,35683,25,27,87.5,7.07,6.85,14.6,15.07
29/04/2016,angophora_costata,35683,25,28,118,12.45,12.4,18.45,20.72
29/04/2016,angophora_costata,35683,25,29,123,14.28,14.13,19.69,19.8
29/04/2016,angophora_costata,35683,25,30,124.5,20.14,18.58,25.15,23.69
29/04/2016,angophora_costata,35683,25,31,131,12.33,12.62,19.48,19.94
29/04/2016,angophora_costata,35683,25,32,128,12.3,12.37,19.82,19.77
29/04/2016,angophora_costata,35683,25,33,127.5,14.35,14.3,17.03,16.73
29/04/2016,angophora_costata,35683,25,34,134,14.75,14.59,20.74,20.3
29/04/2016,angophora_costata,35683,25,35,124,13.8,12.94,26.44,26.56
29/04/2016,callistemon_kingsparkspecial,26627,25,1,159,19.04,18.87,28.05,29.45
29/04/2016,callistemon_kingsparkspecial,26627,25,2,161,18.45,16.63,30.19,30.9
29/04/2016,callistemon_kingsparkspecial,26627,25,3,161.5,22.64,22.39,30.77,29.74
29/04/2016,callistemon_kingsparkspecial,26627,25,4,169.5,27.05,28.2,27.05,26.51
29/04/2016,callistemon_kingsparkspecial,26627,25,5,158.5,19.88,19.76,35.54,34.35
29/04/2016,callistemon_kingsparkspecial,26627,25,6,162,16.97,15.98,27.96,28.71
29/04/2016,callistemon_kingsparkspecial,26627,25,7,172.5,18.93,19.32,27.41,27.44
29/04/2016,callistemon_kingsparkspecial,26627,25,8,205.5,21.83,21.86,26.4,26.4
29/04/2016,callistemon_kingsparkspecial,26627,25,9,160,18.82,18.94,26.84,26.06
29/04/2016,callistemon_kingsparkspecial,26627,25,10,154.5,21.1,19.66,26.43,25.24
29/04/2016,callistemon_kingsparkspecial,26627,25,11,151,15.85,15.86,23.89,27.93
29/04/2016,callistemon_kingsparkspecial,26627,25,12,170.5,19.94,20.2,25.91,26.33
29/04/2016,callistemon_kingsparkspecial,26627,25,13,180,20.94,19.49,26.43,26.37
29/04/2016,callistemon_kingsparkspecial,26627,25,14,190,19.2,18.74,26.99,27.67
29/04/2016,callistemon_kingsparkspecial,26627,25,15,195,24.81,23.44,29.29,29.02
29/04/2016,callistemon_kingsparkspecial,26627,25,16,206,21.22,20.28,23.48,23.63
29/04/2016,callistemon_kingsparkspecial,26627,25,17,186.5,24.53,24.48,28.61,27.19
29/04/2016,callistemon_kingsparkspecial,26627,25,18,192.5,17.7,18.22,25.07,28.01
29/04/2016,callistemon_kingsparkspecial,26627,25,19,190.5,16.53,15.64,22.75,22.99
29/04/2016,callistemon_kingsparkspecial,26627,25,20,186,18.47,18.44,23.22,23.39
29/04/2016,callistemon_kingsparkspecial,26627,25,21,170,18.87,19.13,24.84,25.94
29/04/2016,callistemon_kingsparkspecial,26627,25,22,193,17.67,17.31,26.68,27.49
29/04/2016,callistemon_kingsparkspecial,26627,25,23,147,20.38,20.24,33.85,32.46
29/04/2016,callistemon_kingsparkspecial,26627,25,24,164,23.44,22.59,29.2,23.44
29/04/2016,callistemon_kingsparkspecial,26627,25,25,179,24.8,23.88,24.76,24.63
29/04/2016,callistemon_kingsparkspecial,26627,25,26,181,18.98,18.84,28.51,27.79
29/04/2016,callistemon_kingsparkspecial,26627,25,27,165,17.09,16.54,23.65,23.64
29/04/2016,callistemon_kingsparkspecial,26627,25,28,182,14.85,14.68,23.95,24.02
29/04/2016,callistemon_kingsparkspecial,26627,25,29,223,20.09,20.74,29.05,29.43
29/04/2016,callistemon_kingsparkspecial,26627,25,30,211,23.28,22.58,26.26,26.43
29/04/2016,callistemon_kingsparkspecial,26627,25,31,214,20.7,20.45,29.21,29.97
29/04/2016,callistemon_kingsparkspecial,26627,25,32,227,25.23,26.15,27.03,27.24
29/04/2016,callistemon_kingsparkspecial,26627,25,33,196.5,21.94,21.62,28.58,29.68
29/04/2016,callistemon_kingsparkspecial,26627,25,34,182,24.14,23.52,26.43,26.48
29/04/2016,callistemon_kingsparkspecial,26627,25,35,167.5,16.64,16.4,24.82,25.39
29/04/2016,callistemon_kingsparkspecial,26627,25,36,163,21.6,23.01,26.68,26.03
29/04/2016,callistemon_kingsparkspecial,26627,25,37,169,15.51,16.35,26.24,26.48
29/04/2016,callistemon_kingsparkspecial,26627,25,38,156,18.95,18.97,27.8,27.93
29/04/2016,callistemon_kingsparkspecial,26627,25,39,169.5,21.43,20.14,25.32,26.76
29/04/2016,callistemon_kingsparkspecial,26627,25,40,191,18.12,18.3,24.78,24.67
29/04/2016,callistemon_kingsparkspecial,26627,25,41,195.5,21.3,22.34,26.76,26.71
29/04/2016,callistemon_kingsparkspecial,26627,25,42,214,22.94,23.6,29.57,27.11
29/04/2016,callistemon_kingsparkspecial,26627,25,43,213,19.12,19.11,24.21,24.92
29/04/2016,callistemon_kingsparkspecial,26627,25,44,200,20.93,21.32,27.35,27.59
29/04/2016,callistemon_kingsparkspecial,26627,25,45,215,20.83,21.21,27.75,27.56
29/04/2016,eucalyptus pilularis,35690,25,1,122,12.69,12.49,18.86,21.58
29/04/2016,eucalyptus pilularis,35690,25,2,76.5,6.69,6.84,18.52,18.52
29/04/2016,eucalyptus pilularis,35690,25,3,96,10.32,10.85,20.3,22.39
29/04/2016,eucalyptus pilularis,35690,25,4,121,10.59,10.13,18.23,18.64
29/04/2016,eucalyptus pilularis,35690,25,5,87.5,9.68,9.87,16.56,17.29
29/04/2016,eucalyptus pilularis,35690,25,6,112.5,12.2,12.08,17.78,18.17
29/04/2016,eucalyptus pilularis,35690,25,7,84,8.24,8.31,19.69,19.92
29/04/2016,eucalyptus pilularis,35690,25,8,93,9.19,9.03,21.43,21.84
29/04/2016,eucalyptus pilularis,35690,25,9,92,9.24,9.1,19.72,17.2
29/04/2016,eucalyptus pilularis,35690,25,10,115.5,10.54,10.75,19.19,18.23
29/04/2016,eucalyptus pilularis,35690,25,11,109,10.17,10.47,20.12,22.92
29/04/2016,eucalyptus pilularis,35690,25,12,106,9.38,9.37,19.1,18.1
29/04/2016,eucalyptus pilularis,35690,25,13,125,12.98,12.24,18.24,18.54
29/04/2016,eucalyptus pilularis,35690,25,14,161,10.37,10.97,18.23,19
29/04/2016,eucalyptus pilularis,35690,25,15,142,12.13,12.52,22.2,22.68
29/04/2016,eucalyptus pilularis,35690,25,16,105.5,7.69,7.83,18.21,17.78
29/04/2016,eucalyptus pilularis,35690,25,17,110,10.5,10.76,22.66,21.48
29/04/2016,eucalyptus pilularis,35690,25,18,92,11.21,11.22,19.98,20.57
29/04/2016,eucalyptus pilularis,35690,25,19,97,11,9.27,15.52,15.69
29/04/2016,eucalyptus pilularis,35690,25,20,126.5,9.51,10.24,15.16,16.6
29/04/2016,eucalyptus pilularis,35690,25,21,139.5,10.54,10.75,19.1,18.51
29/04/2016,eucalyptus pilularis,35690,25,22,140,11.36,11.53,18.51,18.16
29/04/2016,eucalyptus pilularis,35690,25,23,131.5,12.34,12.18,21.3,20.03
29/04/2016,eucalyptus pilularis,35690,25,24,139,12.69,12.21,19.81,21.02
29/04/2016,eucalyptus pilularis,35690,25,25,117,10.2,9.17,16.51,17.69
29/04/2016,eucalyptus pilularis,35690,25,26,121,11.65,11.87,17.71,20.67
29/04/2016,eucalyptus pilularis,35690,25,27,176.5,13.44,13.84,22.68,22.43
29/04/2016,eucalyptus pilularis,35690,25,28,120,10.21,10.23,19.35,19.19
