nursery,species,date,site,batch_id2,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD,colorspec
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,29.85,36.04,3.459,103.25115,2.013894897,1.653212514,0.538950562,1.474944335,1.556784782,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,27.95,36.085,3.372,94.2474,1.974269378,1.653212514,0.527887566,1.446381812,1.55732671,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,28.275,39.87,2.836,80.1879,1.90410884,1.653212514,0.452706227,1.451402614,1.600646236,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,27.515,41.16,1.986,54.64479,1.737548761,1.653212514,0.297979244,1.439569517,1.614475366,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,32.34,50.66,2.458,79.49172,1.900321894,1.653212514,0.390581879,1.509740016,1.704665185,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,37.715,48.605,2.246,84.70789,1.927923864,1.653212514,0.351409752,1.576514112,1.686680947,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,32.075,44.56,2.36,75.697,1.879078668,1.653212514,0.372912003,1.506166665,1.648945182,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,32.435,46.48,1.994,64.67539,1.810739056,1.653212514,0.299725154,1.511013902,1.667266119,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,31.64,53.22,1.994,63.09016,1.799961629,1.653212514,0.299725154,1.500236475,1.72607487,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,25.555,36.225,2.613,66.775215,1.824615295,1.653212514,0.41713941,1.407475885,1.559008394,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,23.835,41.715,2.559,60.993765,1.785285442,1.653212514,0.408070286,1.377215156,1.620292248,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,21.78,25.19,2.887,62.87886,1.798504659,1.653212514,0.460446784,1.338057875,1.401228167,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,001-A-063-angophora_costata,45,25.7,33.055,3.048,78.3336,1.893948086,1.653212514,0.484014963,1.409933123,1.519237161,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,8.11,13.28,1.054,8.54794,0.931861465,1.146128036,0.022840611,0.909020854,1.123198075,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,13.415,14.74,1.142,15.31993,1.185256781,1.146128036,0.057666104,1.127590677,1.168497484,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,7.335,15.155,0.989,7.254315,0.86059641,1.146128036,-0.004803708,0.865400118,1.180555941,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,10.285,14.675,1.244,12.79454,1.107024676,1.146128036,0.09482038,1.012204296,1.16657811,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,10.985,15.475,1.006,11.05091,1.043398042,1.146128036,0.002597981,1.040800061,1.189630658,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.53,14,1.296,12.35088,1.091697902,1.146128036,0.112605002,0.979092901,1.146128036,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,4.58,10.52,0.551,2.52358,0.402017077,1.146128036,-0.258848401,0.660865478,1.02201574,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,6.345,16.265,0.814,5.16483,0.713056031,1.146128036,-0.089375595,0.802431626,1.211254068,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,6.78,10.795,1.106,7.49868,0.874984821,1.146128036,0.043755127,0.831229694,1.033222647,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,10.655,19.27,1.414,15.06617,1.178002864,1.146128036,0.150449409,1.027553454,1.284881715,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.105,12.885,1.046,9.52383,0.978811635,1.146128036,0.019531685,0.95927995,1.110084423,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,10.36,15.865,1.101,11.40636,1.057147074,1.146128036,0.041787319,1.015359755,1.200440076,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.63,16.16,1.252,12.05676,1.081230616,1.146128036,0.097604329,0.983626287,1.208441356,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,11.31,13.675,1.177,13.31187,1.124239068,1.146128036,0.070776463,1.053462605,1.135927335,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,8.085,14.51,0.99,8.00415,0.903315219,1.146128036,-0.004364805,0.907680024,1.161667412,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,12.355,17.11,1.268,15.66614,1.194962003,1.146128036,0.103119254,1.09184275,1.23325001,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,10.995,17.765,1.156,12.71022,1.104153068,1.146128036,0.062957834,1.041195234,1.249565212,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,8.36,15.065,1.141,9.53876,0.979491922,1.146128036,0.057285644,0.922206277,1.177969136,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,11.25,13.75,1.007,11.32875,1.054181993,1.146128036,0.003029471,1.051152522,1.138302698,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,8.015,12.865,1.015,8.135225,0.910369569,1.146128036,0.006466042,0.903903527,1.109409791,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,14.465,24.325,1.214,17.56051,1.244537125,1.146128036,0.084218687,1.160318438,1.386052849,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.755,12.735,1.133,11.052415,1.043457184,1.146128036,0.05422991,0.989227274,1.104998949,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.235,16.76,1.236,11.41446,1.057455371,1.146128036,0.092018471,0.9654369,1.224274014,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,11.275,16.875,1.209,13.631475,1.134542851,1.146128036,0.082426301,1.052116551,1.227243782,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.62,11.93,0.972,9.35064,0.970841337,1.146128036,-0.012333735,0.983175072,1.076640444,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,12.795,16.48,1.363,17.439585,1.241536146,1.146128036,0.134495856,1.10704029,1.216957207,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.465,14.255,1.275,12.067875,1.081630803,1.146128036,0.105510185,0.976120618,1.153967222,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,11.005,14.655,1.248,13.73424,1.137804632,1.146128036,0.096214585,1.041590047,1.165985823,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,12.67,16.49,1.374,17.40858,1.240763348,1.146128036,0.137986733,1.102776615,1.217220656,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.33,14.015,0.669,6.24177,0.795307762,1.146128036,-0.174573882,0.969881644,1.146593102,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,13.475,19.66,1.416,19.0806,1.280592027,1.146128036,0.151063253,1.129528774,1.293583513,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,13.91,19.345,1.159,16.12169,1.207410566,1.146128036,0.064083436,1.14332713,1.286568734,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,12.32,14.285,1.249,15.38768,1.187173146,1.146128036,0.096562438,1.090610708,1.154880245,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.59,13.8,1.143,10.96137,1.039864838,1.146128036,0.05804623,0.981818607,1.139879086,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,8.69,14.695,1.062,9.22878,0.965144293,1.146128036,0.026124517,0.939019776,1.16716959,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,8.655,14.725,1.139,9.858045,0.993790796,1.146128036,0.056523724,0.937267072,1.168055303,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,12.69,18.04,1.156,14.66964,1.166419456,1.146128036,0.062957834,1.103461622,1.256236533,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,11.91,16.365,1.211,14.42301,1.159055905,1.146128036,0.083144143,1.075911761,1.21391601,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,10.19,16.505,1.129,11.50451,1.060868126,1.146128036,0.052693942,1.008174184,1.217615529,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,11.135,16.12,1.116,12.42666,1.094354416,1.146128036,0.047664195,1.046690221,1.207365037,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.725,16.545,0.968,9.4138,0.973764967,1.146128036,-0.014124643,0.98788961,1.218666771,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,13.335,17.24,1.192,15.89532,1.201269275,1.146128036,0.076276255,1.12499302,1.236537261,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,9.565,15.105,1.119,10.703235,1.029515061,1.146128036,0.048830087,0.980684974,1.17912073,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,002-S-059-angophora_costata,14,5.82,10.39,0.994,5.78508,0.762309369,1.146128036,-0.002613616,0.764922985,1.016615548,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,58.495,77.645,3.81,222.86595,2.348043721,2.301029996,0.580924976,1.767118745,1.890113494,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,64.58,84.36,4.873,314.69834,2.497894452,2.301029996,0.687796411,1.810098041,1.926136571,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,69.83,77.28,4.575,319.47225,2.50443314,2.301029996,0.660391098,1.844042042,1.888067113,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,56.25,72.315,4.68,263.25,2.42036838,2.301029996,0.670245853,1.750122527,1.859228391,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,67.7,79.395,5.013,339.3801,2.530686373,2.301029996,0.700097705,1.830588669,1.899793153,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,68.545,74.12,4.973,340.874285,2.53259424,2.301029996,0.696618459,1.835975781,1.869935411,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,53.265,62.025,4.381,233.353965,2.368015185,2.301029996,0.641573253,1.726441931,1.792566773,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,52.425,65.66,3.65,191.35125,2.281831304,2.301029996,0.562292864,1.719538439,1.817300878,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,57.26,79.235,4.48,256.5248,2.409129358,2.301029996,0.651278014,1.757851344,1.898917062,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,46.895,67.255,3.21,150.53295,2.177631573,2.301029996,0.506505032,1.67112654,1.827724577,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,62.08,73.66,4.347,269.86176,2.431141348,2.301029996,0.63818964,1.792951708,1.867231715,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,43.485,54.995,3.246,141.15231,2.14968799,2.301029996,0.511348515,1.638339474,1.740323206,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,42.125,59.8,4.044,170.3535,2.231351061,2.301029996,0.606811147,1.624539914,1.776701184,#7FC97F
