rootball_diam_min,min_size_index,max_size_index
400,57,72
450,73,106
500,107,131
550,132,156
600,157,173
650,174,228
700,229,249
750,250,299
800,300,340
850,341,383
900,384,429
1000,430,530
1100,531,642
1200,643,732
1300,733,859
1500,860,1144
1750,1145,1507
2000,1508,1968
2500,1969,3075
