date,species,batch_id,volume,grade,tree,height,diameter1,diameter2,rootmax,rootmin
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,12,198.5,23.89,25.34,51,33.5
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,13,190.4,21.76,23.24,61,42
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,14,176,20.87,20.55,53,46
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,15,179.1,20.67,20.68,70,44.5
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,16,188,22.63,22.04,53,43
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,17,187,22.56,22.85,60,48
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,18,176.8,22.76,21.29,60,45.5
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,19,155.1,20.3,20.25,74,61
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,20,185.5,19.38,18.84,56.5,32.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,1,123.5,12.47,12.52,44.5,25
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,2,112.8,9.59,8.85,51,25.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,3,109.2,9.51,9.44,72,41
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,4,121.4,11.74,11.9,43.5,19.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,5,118.7,9.9,9.08,44,29.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,6,114.2,12.26,12.27,53,37.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,7,117.5,9.09,9.23,37,21.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,8,113.8,10.2,10.78,37,24.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,9,123,10.42,10.84,52,17
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,10,119,8.94,9.2,32,16
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,advanced,11,148,17.04,17.33,78,50.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,advanced,12,132.5,14.84,15.41,56.5,38.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,advanced,13,145,16.03,15.2,50,28
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,advanced,14,147.4,15.94,17.14,57,40
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,advanced,15,148.1,16.02,17.36,60,29.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,advanced,16,117,14.33,14.57,53,24.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,advanced,17,140.5,14.16,13.6,41,11
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,advanced,18,143.5,16.13,15.87,44,20.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,advanced,19,142,16.14,15.86,58.5,31
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,advanced,20,130.5,15.74,16.44,60,44
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,regular,1,111.6,14.08,14.06,37,19.5
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,regular,2,136.6,12.49,13.07,28,11
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,regular,3,121,12.73,13.69,24,12
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,regular,4,119,16.2,16.33,50,23.5
