Region,temp_40yr,maxtemp_40yr,rain_40yr
Australia,17.3,23.6,790.2
ACT,11.7,18.1,705
NSW,15.3,22,861.2
NT,25.1,31.9,833.2
QLD,21.7,27.8,105.7
SA,16,22.4,444.7
VIC,13.5,19.5,739.1
WA,20.3,27,502.7
TAS,10.8,15.7,1041.2
