date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,1,294.5,31.52,31.2,35.7,35.08
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,2,287.3,27.97,28.47,35.29,34.11
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,3,301.2,30.62,30.03,35.06,34.32
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,4,299,29.9,28.38,32.24,33.85
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,5,310.2,27.03,27,35.74,35.51
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,6,308.7,28.45,28.2,35.21,32.17
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,7,258.9,28.82,27.53,32.72,34.75
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,8,319.6,27.59,27.53,31.94,32.35
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,9,250.2,31.37,31.69,37.14,37.46
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,10,297.5,29.26,29.27,34.69,34.02
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,11,244.7,26.79,27.43,31.93,32.25
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,12,285.4,28.53,28.5,35.06,35.25
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,13,288,26.37,27.29,33.22,30.66
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,14,269.8,28.17,27.62,32.53,32.46
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,15,274.3,27.65,28.13,31.49,30.14
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,16,324.3,29.74,30.43,35.13,34.75
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,17,314.5,29.97,29.63,36.45,37.03
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,18,296.4,28.33,27.44,30.06,30.52
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,19,331.7,32.25,32.08,37.46,38.25
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,20,312.5,30.7,30.34,36.81,36.13
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,21,302.4,30.49,30.74,36.33,36.65
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,22,257.6,30.05,30.32,33.2,32.85
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,23,307.8,31.72,31.65,36.82,36.68
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,24,321.6,33.68,32.99,39.8,39.81
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,25,283.6,34.87,32.33,38.4,38.64
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,26,279.1,39.16,38.12,46.29,47.69
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,27,255.5,29.91,29.8,36.45,33.97
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,28,301.4,32.08,32.43,37.48,36.65
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,29,298.9,30.64,30.77,35.76,36.23
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,30,300.1,32.09,32.08,35.57,37.29
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,31,299.4,30.99,31.28,34.11,34.37
27/06/2016,acer_rubrum_autumnblaze,ara_45,45,32,255.9,32.45,33.25,36.34,36.35
