nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,45,233.3,30.12,29.57,36.21,37.32
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,1,176.5,18.98,18.35,25.77,26.33
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,2,186.1,17.88,18.46,24.11,24.68
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,3,179.2,16.71,16.8,22.34,21.88
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,4,178.3,15.27,15.49,22.89,22.31
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,5,137.5,18.86,18.67,22.25,23.12
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,6,137.5,14.19,14.64,22.31,22.19
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,7,164.5,19.37,19.08,22.12,22.58
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,8,143.4,16.28,16.23,24.97,25.39
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,9,170,18.15,18.09,24.44,24.97
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,10,162.7,19.49,19.85,24.68,24.61
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,11,146.6,19.88,19.78,21.92,22.13
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,12,191,19.19,19.27,30.35,28.67
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,13,197.8,21.43,21.14,26.75,27.55
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,14,182.5,19.39,19.73,24.93,25.16
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,15,183.6,13.71,13.7,24.3,24.82
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,16,140.9,17.53,17.35,25.9,25.98
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,17,181.7,17.59,17.6,23.02,22.83
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,18,193.5,17.32,17.58,29.32,27.26
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,19,175.7,21.22,20.84,23.01,22.87
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,20,195.3,16.96,17.1,24.63,25.98
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,21,178,15.56,15.79,22.46,23.32
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,22,166.6,16.59,17.08,26.1,25.7
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,23,184.7,16.42,16.33,22.11,21.4
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,24,182.1,18.79,18.43,26.38,25.33
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,25,160.3,19.2,19.39,24.79,24.62
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,26,187,17.01,17.04,25.17,25.18
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,27,163.3,19.41,19.62,26.49,27.28
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,28,141.9,18,18.09,20.53,20.89
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,29,180,20.53,20.54,25.53,25.53
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,30,176.3,20.81,20.26,26.72,26.25
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,31,179,16,16.33,19.63,20.1
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,32,179.7,18.45,18.61,24.11,24.37
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,33,164.7,14.82,15.32,22.18,23.39
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,34,165.3,17.61,17.71,21.55,22.14
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,35,182.3,17.59,17.54,26.9,28.15
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,36,194.2,19.16,18.93,24.74,25.59
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,37,162.8,19,19.32,21.7,27.33
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,38,150.5,21.72,20.32,24.89,25
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,39,177.5,19.86,20.03,24.22,24.73
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,40,142.8,15.36,15.27,26.55,26.04
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,41,142,19.23,19.46,25.77,26.03
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,42,190.5,22.2,21.9,26.29,26.32
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,43,180,18.45,18.65,29.73,27.76
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,44,200.5,19.18,19.27,24.06,24.46
