Species,foliage_type,exp_length,PotVol,above_mass,root_mass,total_mass,root2shoot,masspervolume,,
Pinus_contorta,gymnosperm,140,0.010,0.150,0.096,0.246,0.64,24.6,,
Pinus_contorta,gymnosperm,140,0.023,0.319,0.222,0.541,0.70,23.5,,
Pinus_contorta,gymnosperm,140,0.033,0.389,0.335,0.724,0.86,21.9,,
Pinus_contorta,gymnosperm,140,0.066,0.722,0.498,1.220,0.69,18.5,,
Pinus_contorta,gymnosperm,140,0.131,0.936,0.638,1.574,0.68,12.0,,
Pinus_contorta,gymnosperm,140,0.262,1.265,0.790,2.055,0.62,7.8,,
Pinus_contorta,gymnosperm,140,0.524,1.544,0.897,2.441,0.58,4.7,,
Picea_glauca,gymnosperm,140,0.024,0.082,0.038,0.120,0.46,5.1,,
Picea_glauca,gymnosperm,140,0.040,0.124,0.065,0.189,0.53,4.7,,
Picea_glauca,gymnosperm,140,0.071,0.254,0.080,0.334,0.32,4.7,,
Pinus_contorta,gymnosperm,140,0.024,0.097,0.061,0.159,0.63,6.7,,
Pinus_contorta,gymnosperm,140,0.040,0.214,0.081,0.295,0.38,7.3,,
Pinus_contorta,gymnosperm,140,0.071,0.321,0.154,0.476,0.48,6.7,,
Pseudotsuga_menziessi,gymnosperm,140,0.024,0.097,0.055,0.153,0.57,6.4,,
Pseudotsuga_menziessi,gymnosperm,140,0.040,0.125,0.087,0.212,0.69,5.3,,
Pseudotsuga_menziessi,gymnosperm,140,0.071,0.293,0.107,0.400,0.36,5.7,,
Picea_glauca,gymnosperm,140,0.010,0.059,0.026,0.085,0.44,8.5,,
Picea_glauca,gymnosperm,140,0.033,0.131,0.052,0.183,0.40,5.5,,
Picea_glauca,gymnosperm,140,0.066,0.240,0.078,0.318,0.33,4.8,,
Picea_glauca,gymnosperm,140,0.131,0.346,0.100,0.446,0.29,3.4,,
Picea_glauca,gymnosperm,140,0.262,0.400,0.122,0.522,0.31,2.0,,
Picea_glauca,gymnosperm,140,0.524,0.424,0.112,0.536,0.26,1.0,,
Ficus_retusa,angiosperm,277,5.000,778.000,153.000,931.000,0.20,186.2,,
Ficus_retusa,angiosperm,277,21.000,2923.000,442.000,3365.000,0.15,160.2,,
Pistacea_lentiscus,angiosperm,304,1.000,297.000,37.000,334.000,0.12,334.0,,
Pistacea_lentiscus,angiosperm,304,2.500,473.000,53.000,526.000,0.11,210.4,,
Dodonea_viscosa,angiosperm,240,1.000,200.000,31.000,231.000,0.16,231.0,,
Dodonea_viscosa,angiosperm,240,2.500,369.000,72.000,441.000,0.20,176.4,,
Dodonea_viscosa,angiosperm,240,10.000,1192.000,194.000,1386.000,0.16,138.6,,
Cuppressocyparis_leylandii,gymnosperm,450,3.800,300.650,,,,,,
Cuppressocyparis_leylandii,gymnosperm,450,7.600,397.717,,,,,,
Cuppressocyparis_leylandii,gymnosperm,450,11.400,678.907,,,,,,
Quercus_rubra,angiosperm,53,0.494,5.810,4.580,10.390,0.79,21.0,,
Quercus_rubra,angiosperm,53,1.542,9.710,4.820,14.530,0.50,9.4,,
Quercus_rubra,angiosperm,53,1.568,5.180,5.090,10.270,0.98,6.5,,
Quercus_rubra,angiosperm,53,4.899,7.700,5.820,13.520,0.76,2.8,,
Quercus_rubra,angiosperm,53,6.330,15.810,6.940,22.750,0.44,3.6,,
Quercus_rubra,angiosperm,53,20.120,11.270,5.500,16.770,0.49,0.8,,
Ilex_spec.,angiosperm,140,3.800,23.600,6.900,30.500,0.29,8.0,,
Ilex_spec.,angiosperm,140,5.700,28.600,7.700,36.300,0.27,6.4,,
Ilex_spec.,angiosperm,140,11.400,42.500,9.500,52.000,0.22,4.6,,
Cupressocyparis_leylanddi,gymnosperm,140,3.800,7.500,3.700,11.200,0.49,2.9,,
Cupressocyparis_leylanddi,gymnosperm,140,5.700,10.100,4.200,14.300,0.42,2.5,,
Cupressocyparis_leylanddi,gymnosperm,140,11.400,12.200,5.400,17.600,0.44,1.5,,
Rhododendron_spec,angiosperm,140,3.800,4.200,,,,,,
Rhododendron_spec,angiosperm,140,5.700,5.800,,,,,,
Rhododendron_spec,angiosperm,140,11.400,9.300,,,,,,
Malus_x_domestica,angiosperm,1642.5,10.000,3000.000,1300.000,4900.000,0.43,490.00,,
Malus_x_domestica,angiosperm,1642.5,50.000,6300.000,4700.000,14300.000,0.75,286.00,,
Malus_x_domestica,angiosperm,1642.5,200.000,20300.000,11200.000,36600.000,0.55,183.00,,
Magnolia_grandiflora,angiosperm,53,10.000,123.000,94.000,217.000,0.76,21.7,,
