nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
dph,10/08/2016,caralla_brachiata,cb_108,100,1,265.8,35.58,35.92,51.73,51.32
dph,10/08/2016,caralla_brachiata,cb_108,100,2,301.6,37.51,36.82,53.52,51.57
dph,10/08/2016,caralla_brachiata,cb_108,100,3,327.6,38.62,38.61,60.39,58.38
dph,10/08/2016,caralla_brachiata,cb_108,100,4,321.7,35.64,37.19,51.76,51.42
dph,10/08/2016,caralla_brachiata,cb_108,100,5,269.6,27.16,28.41,44.33,40.1
dph,10/08/2016,caralla_brachiata,cb_108,100,6,268.7,32.91,32.97,49.77,52.4
dph,10/08/2016,caralla_brachiata,cb_108,100,7,308.5,38.78,38,59.23,62.63
dph,10/08/2016,caralla_brachiata,cb_108,100,8,285.6,39.11,38.55,54.13,54.44
dph,10/08/2016,caralla_brachiata,cb_108,100,9,293.3,39.23,41.41,56.17,57.8
dph,10/08/2016,caralla_brachiata,cb_108,100,10,340.7,38.66,38.87,53.73,53.96
dph,10/08/2016,caralla_brachiata,cb_108,100,11,282.6,31.5,28.3,45.8,48.39
dph,10/08/2016,caralla_brachiata,cb_108,100,12,334.7,42.8,44.09,60.48,58.35
dph,10/08/2016,caralla_brachiata,cb_108,100,13,260.3,37.46,37.9,56.66,56.61
dph,10/08/2016,allosyncarpia_ternata,at_109,100,1,277.6,37.56,37.53,49.54,52.64
dph,10/08/2016,allosyncarpia_ternata,at_109,100,2,312.7,37.43,37.16,44.83,44.98
dph,10/08/2016,allosyncarpia_ternata,at_109,100,3,325.3,47.4,47.99,45.87,46.19
dph,10/08/2016,allosyncarpia_ternata,at_109,100,4,291.3,43.55,42.29,52.65,54.64
dph,10/08/2016,allosyncarpia_ternata,at_109,100,5,336.4,51.43,49.58,68.21,68.28
dph,10/08/2016,allosyncarpia_ternata,at_109,100,6,296.7,43.74,43.43,57.66,57.28
dph,10/08/2016,allosyncarpia_ternata,at_109,100,7,275.8,42.37,47.43,60.99,57.35
dph,10/08/2016,allosyncarpia_ternata,at_109,100,8,308.7,40.06,40.28,51.83,51.08
dph,10/08/2016,allosyncarpia_ternata,at_109,100,9,268.2,36.7,37.24,45.5,48.05
dph,10/08/2016,peltophorum_pterocarpum,pp_109,100,1,287.5,39.52,38.92,43.9,47
dph,10/08/2016,peltophorum_pterocarpum,pp_109,100,2,272.2,35.12,35.21,45.21,46.49
dph,10/08/2016,peltophorum_pterocarpum,pp_109,100,3,271.4,34.77,35.54,41.89,41.53
dph,10/08/2016,peltophorum_pterocarpum,pp_109,100,4,262.4,31.87,30.87,36.95,37.1
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,1,128.7,12.66,12.55,18.03,17.63
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,2,155,13.79,13.96,18.77,18.81
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,3,147.1,12.25,12.35,16.7,16.44
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,4,155.3,13.11,13.05,18.36,15.5
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,5,157.1,11.73,12.18,18.12,18.07
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,6,140.3,13.46,13.11,19.95,19.97
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,7,159.3,15.15,15.37,19.62,19.22
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,8,156,12.02,12.31,17.05,18.1
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,9,116.1,9.78,9.68,14.54,15.03
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,10,148.4,12.56,12.47,18.21,17.94
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,11,163.7,13.11,14.29,18.16,18.23
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,12,157.7,14.39,14.51,19.51,19.73
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,13,156.6,12.39,12.73,17.77,17.71
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,14,147.1,14.11,13.56,19.08,19.26
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,15,146.7,12.29,12.14,16.05,16.68
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,16,146.9,13.56,12.56,18.5,18.42
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,17,175.2,14.38,13.2,18.52,17.8
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,18,153.8,13.32,13.36,18.68,18.55
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,19,147.3,12.71,12.79,18.17,18.39
dph,10/08/2016,syzygium_australe_bigred,sa_75,30,20,127.9,12.01,12.01,17.05,17.05
dph,10/08/2016,syzygium_cunninghamiana,sc_72,20,1,282.4,34.22,36.37,47.67,44.3
dph,10/08/2016,syzygium_cunninghamiana,sc_72,20,2,320.6,29.08,29.31,33.6,35.38
dph,10/08/2016,syzygium_cunninghamiana,sc_72,20,3,202.9,31.57,31.09,25.59,26.64
dph,10/08/2016,syzygium_cunninghamiana,sc_72,20,4,213.4,37.81,38.97,50.66,47.57
dph,10/08/2016,syzygium_cunninghamiana,sc_72,20,5,154.5,37.92,37.21,42.53,41.24
dph,10/08/2016,syzygium_cunninghamiana,sc_72,20,6,232.3,33.15,32.59,45.43,46
dph,10/08/2016,syzygium_cunninghamiana,sc_72,20,7,299.7,32.69,30.59,40.26,39.19
dph,10/08/2016,barringtonia_acutangula,ba_72,20,1,218.7,41.67,40.5,52.12,53.22
dph,10/08/2016,barringtonia_acutangula,ba_72,20,2,241.1,38.33,37.99,52.44,56.08
dph,10/08/2016,barringtonia_acutangula,ba_72,20,3,255.7,37.08,37.15,47.5,49.4
dph,10/08/2016,barringtonia_acutangula,ba_72,20,4,218.4,37.52,37.13,48.91,48.49
dph,10/08/2016,barringtonia_acutangula,ba_72,20,5,239.8,35.85,36.08,48.07,48.74
dph,10/08/2016,barringtonia_acutangula,ba_72,20,6,263.4,36.75,37.81,45.12,43.11
dph,10/08/2016,barringtonia_acutangula,ba_72,20,7,253.1,43.09,44.83,59.96,58.59
dph,10/08/2016,barringtonia_acutangula,ba_72,20,8,249.6,28.89,29.57,44.21,38.47
dph,10/08/2016,barringtonia_acutangula,ba_72,20,9,247.8,30.2,30.98,39.43,39.54
dph,10/08/2016,barringtonia_acutangula,ba_72,20,10,245.6,38.76,39.61,48.56,48.85
dph,10/08/2016,barringtonia_acutangula,ba_72,20,11,242.7,35.1,37.48,47.89,48.52
dph,10/08/2016,barringtonia_acutangula,ba_72,20,12,280.3,34.58,35.61,44.73,49.1
dph,10/08/2016,barringtonia_acutangula,ba_72,20,13,263.4,38.74,39.2,51.41,50.59
dph,10/08/2016,barringtonia_acutangula,ba_72,20,14,241,37.63,38.97,51.37,50.87
dph,10/08/2016,barringtonia_acutangula,ba_72,20,15,250.1,39.25,40.83,56.67,57.1
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,1,303.8,28.84,25.9,36.4,36.59
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,2,389.6,29.9,30.35,49.94,46.48
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,3,304.3,32.72,32.45,46.92,45.7
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,4,285,26.81,27.08,40.4,43.5
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,5,281.6,28.15,28.09,34.83,33.25
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,6,275,29.96,29.67,43.17,41.97
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,7,245.5,29.72,28.67,36.04,34.16
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,8,243.4,27.81,27.14,32.21,34.95
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,9,312.5,29.09,30.31,34.44,34.55
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,10,252.6,21.66,22.28,29.05,28.8
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,11,254.1,26.57,27.15,40.14,37.71
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,12,241.6,30.67,30.28,38.34,36.78
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,13,287.2,28.62,28.17,36.4,35.73
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,14,287,24.26,23.83,33.81,29.94
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,15,276.4,23.13,23.39,30.95,31.45
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,16,328.8,30.71,30.12,40.42,43.84
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,17,227.8,26.47,27,32.1,30.21
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,18,263,21.6,21.23,34.47,34.99
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,19,264.5,30.1,30.1,34.77,40.1
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,20,272.7,29.81,31.44,40.62,39.58
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,21,274.9,28.05,27.31,35.49,34.56
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,22,312.9,28.39,27.9,33,33.93
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,23,281.6,25.13,26.18,31.06,31.26
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,24,294.5,30.45,29.84,37.67,37.92
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,25,240.3,23.72,23.48,31.97,31.57
dph,10/08/2016,peltophorum_pterocarpum,pp_73,20,26,272.2,23.41,22.95,30,30.66
dph,10/08/2016,syzygium_armstrongii,sa_3,100,1,306.8,30.67,30.05,41.72,41.62
dph,10/08/2016,syzygium_armstrongii,sa_3,100,2,323.9,31.67,31.23,40.1,41.61
dph,10/08/2016,syzygium_armstrongii,sa_3,100,3,266.4,29.55,29.56,39.57,38.82
dph,10/08/2016,syzygium_armstrongii,sa_3,100,4,293.5,31.18,31.38,42.44,43.92
dph,10/08/2016,syzygium_armstrongii,sa_3,100,5,278,24.13,24.38,35.7,36.17
dph,10/08/2016,syzygium_armstrongii,sa_3,100,6,284,30.93,31.73,45.67,45.44
dph,10/08/2016,syzygium_armstrongii,sa_3,100,7,312.6,36.79,35.78,49.96,52.25
dph,10/08/2016,syzygium_armstrongii,sa_3,100,8,285,43.5,42.29,60.48,56.36
dph,10/08/2016,syzygium_armstrongii,sa_3,100,9,298.9,34.77,35.15,46.02,46.03
dph,10/08/2016,syzygium_armstrongii,sa_3,100,10,272,37.69,37.72,47.96,49.53
