species,variety,container_l,onhand,date_ready,height,caliper_30cm,type,origin,growth_rate
Eucalyptus_mannifera,,45,22,1/12/2014,2.4,26.4,evergreen,native,moderate
Eucalyptus_polyanthemos,,37,test,,1.8,17,evergreen,native,moderate
Eucalyptus_polyanthemos,,45,24,1/01/2015,2.03,25.02,evergreen,native,moderate
Eucalyptus_polyanthemos,,45,50,1/12/2014,2.16,21.65,evergreen,native,moderate
Eucalyptus_polyanthemos,,45,28,1/11/2014,2.6,33.2,evergreen,native,moderate
Eucalyptus_pulchella,,45,8,1/01/2015,2.37,23.41,evergreen,native,moderate
Eucalyptus_scoparia,,45,23,1/12/2014,2.77,25.52,evergreen,native,moderate
Eucalyptus_scoparia,,45,17,1/12/2014,2.8,24.1,evergreen,native,moderate
Eucalyptus_sideroxylon,Rosea,45,18,1/11/2014,2.8,29.2,evergreen,native,moderate
Eucalyptus_sideroxylon,,45,29,1/12/2014,1.72,18.18,evergreen,native,moderate
Eucalypyus_sideroxylon,Rosea,150,ngia2,,3.5,53,evergreen,native,moderate
Euclayptus_melliodora,,27,test,,2.2,26,evergreen,native,slow
Fagus_sylvatica,Rohanii,500,1,1/10/2014,4.2,45.47,deciduous,non-native,slow
Fagus_sylvatica_x_purpurea,,75,15,1/03/2014,2.13,32.27,deciduous,non-native,slow
Fraxinus_americana,Chamdell-Champaign_County,300,2,1/12/2014,3.97,63.5,deciduous,non-native,moderate
Fraxinus_pennsylvanica,Cimmzam_Cimmaron,33,test,,2.2,26,deciduous,non-native,moderate
Fraxinus_pennsylvanica,Cimmzam_Cimmaron,45,ngia2,,2.7,32,deciduous,non-native,moderate
Fraxinus_pennsylvanica,Cimmzam_Cimmaron,75,7,1/05/2014,2.81,43.21,deciduous,non-native,moderate
Fraxinus_pennsylvanica,Cimmzam_Cimmaron,150,ngia2,,3.7,52,deciduous,non-native,moderate
Fraxinus_pennsylvanica,Cimmzam_Cimmaron,300,2,1/12/2014,6.42,101.95,deciduous,non-native,moderate
Fraxinus_pennsylvanica,Cimmzam_Cimmaron,400,2,1/11/2014,6.06,107.05,deciduous,non-native,moderate
Fraxinus_pennsylvanica,Lednaw-Aerial,45,44,1/02/2014,3.55,39.7,deciduous,non-native,moderate
Ginkgo_biloba,,45,45,1/01/2015,2.5,27.2,deciduous,non-native,moderate
Ginkgo_biloba,,45,ngia2,,3.2,34,deciduous,non-native,moderate
Ginkgo_biloba,,45,ngia2,,1.6,32,deciduous,non-native,moderate
Ginkgo_biloba,,150,ngia2,,3.5,51,deciduous,non-native,moderate
