nursery,station,year,month,mean_max_temp
alpine,66124,2010,1,30
alpine,66124,2010,2,29.1
alpine,66124,2010,3,27
alpine,66124,2010,4,24.7
alpine,66124,2010,5,20.6
alpine,66124,2010,6,17.8
alpine,66124,2010,7,17
alpine,66124,2010,8,18.4
alpine,66124,2010,9,21.7
alpine,66124,2010,10,22.7
alpine,66124,2010,11,25
alpine,66124,2010,12,27.1
alpine,66124,2011,1,29.2
alpine,66124,2011,2,30.1
alpine,66124,2011,3,26.8
alpine,66124,2011,4,22.2
alpine,66124,2011,5,19.4
alpine,66124,2011,6,17.6
alpine,66124,2011,7,16.7
alpine,66124,2011,8,19.6
alpine,66124,2011,9,22
alpine,66124,2011,10,22.7
alpine,66124,2011,11,26.9
alpine,66124,2011,12,22.9
alpine,66124,2012,1,26.7
alpine,66124,2012,2,26
alpine,66124,2012,3,24.9
alpine,66124,2012,4,23.5
alpine,66124,2012,5,20.4
alpine,66124,2012,6,17.1
alpine,66124,2012,7,17.3
alpine,66124,2012,8,19.5
alpine,66124,2012,9,23
alpine,66124,2012,10,24.3
alpine,66124,2012,11,25.7
alpine,66124,2012,12,28
alpine,66124,2013,1,29.7
alpine,66124,2013,2,26.9
alpine,66124,2013,3,26.8
alpine,66124,2013,4,23.8
alpine,66124,2013,5,20.7
alpine,66124,2013,6,17.6
alpine,66124,2013,7,18.8
alpine,66124,2013,8,20.9
alpine,66124,2013,9,25.2
alpine,66124,2013,10,27
alpine,66124,2013,11,25.6
alpine,66124,2013,12,28.3
alpine,66124,2014,1,29
alpine,66124,2014,2,27.5
alpine,66124,2014,3,26.7
alpine,66124,2014,4,23.9
alpine,66124,2014,5,22.6
alpine,66124,2014,6,18.9
alpine,66124,2014,7,18.7
alpine,66124,2014,8,18
alpine,66124,2014,9,21.9
alpine,66124,2014,10,25.9
alpine,66124,2014,11,27.5
alpine,66124,2014,12,27.5
alpine,66124,2015,1,28.6
alpine,66124,2015,2,27.4
alpine,66124,2015,3,27
alpine,66124,2015,4,22.5
alpine,66124,2015,5,20.3
alpine,66124,2015,6,18
alpine,66124,2015,7,16.8
alpine,66124,2015,8,19.2
alpine,66124,2015,9,21
alpine,66124,2015,10,26.4
alpine,66124,2015,11,26.9
alpine,66124,2015,12,28
alpine,66124,2016,1,28
alpine,66124,2016,2,29.3
alpine,66124,2016,3,28
alpine,66124,2016,4,25.3
alpine,66124,2016,5,23.3
alpine,66124,2016,6,18.6
alpine,66124,2016,7,18.3
alpine,66124,2016,8,18.9
alpine,66124,2016,9,21.4
alpine,66124,2016,10,24.3
andreasens,67108,2010,1,31.2
andreasens,67108,2010,2,28.9
andreasens,67108,2010,3,27.2
andreasens,67108,2010,4,25.2
andreasens,67108,2010,5,20.7
andreasens,67108,2010,6,17.6
andreasens,67108,2010,7,16.7
andreasens,67108,2010,8,17.9
andreasens,67108,2010,9,21.2
andreasens,67108,2010,10,22.6
andreasens,67108,2010,11,25.1
andreasens,67108,2010,12,27.1
andreasens,67108,2011,1,30.3
andreasens,67108,2011,2,31.1
andreasens,67108,2011,3,27.7
andreasens,67108,2011,4,22.7
andreasens,67108,2011,5,19.7
andreasens,67108,2011,6,17.5
andreasens,67108,2011,7,16.8
andreasens,67108,2011,8,19.4
andreasens,67108,2011,9,22.1
andreasens,67108,2011,10,22.9
andreasens,67108,2011,11,27.5
andreasens,67108,2011,12,23.7
andreasens,67108,2012,1,27.7
andreasens,67108,2012,2,26.5
andreasens,67108,2012,3,25
andreasens,67108,2012,4,23.6
andreasens,67108,2012,5,20.3
andreasens,67108,2012,6,16.8
andreasens,67108,2012,7,16.9
andreasens,67108,2012,8,19.7
andreasens,67108,2012,9,23.7
andreasens,67108,2012,10,25.5
andreasens,67108,2012,11,26.7
andreasens,67108,2012,12,28.9
andreasens,67108,2013,1,31.2
andreasens,67108,2013,2,27.5
andreasens,67108,2013,3,27.4
andreasens,67108,2013,4,24
andreasens,67108,2013,5,20.3
andreasens,67108,2013,6,16.9
andreasens,67108,2013,7,18.1
andreasens,67108,2013,8,20.6
andreasens,67108,2013,9,25.3
andreasens,67108,2013,10,27.5
andreasens,67108,2013,11,26.2
andreasens,67108,2013,12,29.6
andreasens,67108,2014,1,30.6
andreasens,67108,2014,2,28.1
andreasens,67108,2014,3,26.8
andreasens,67108,2014,4,23.7
andreasens,67108,2014,5,22.2
andreasens,67108,2014,6,18.4
andreasens,67108,2014,7,18.3
andreasens,67108,2014,8,18.1
andreasens,67108,2014,9,21.7
andreasens,67108,2014,10,26.5
andreasens,67108,2014,11,29
andreasens,67108,2014,12,28.5
andreasens,67108,2015,1,29.2
andreasens,67108,2015,2,28.1
andreasens,67108,2015,3,27.3
andreasens,67108,2015,4,22.3
andreasens,67108,2015,5,19.4
andreasens,67108,2015,6,17.5
andreasens,67108,2015,7,16.2
andreasens,67108,2015,8,18.8
andreasens,67108,2015,9,21
andreasens,67108,2015,10,26.9
andreasens,67108,2015,11,28
andreasens,67108,2015,12,29.7
andreasens,67108,2016,1,28.7
